"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Convoy_DTN: A Security Interaction Engine Design For Digital Twin Network","M. Chen; J. Shao; S. Guo; L. Su; H. Du","China Mobile Research Institute, Beijing, China; China Mobile Research Institute, Beijing, China; China Mobile Research Institute, Beijing, China; China Mobile Research Institute, Beijing, China; China Mobile Research Institute, Beijing, China",2021 IEEE Globecom Workshops (GC Wkshps),"24 Jan 2022","2021","","","1","5","A digital twin is a real-time representation of physical assets in a digital world. In future 6G networks, digital twin as the key technology will be widely used in intelligent manufacturing, smart city and scientific research etc., forwarding the whole society towards a ""digital twin"" world combining virtualization and reality. Just like the real network, the Digital Twin Network (DTN) will also face security risks and various attacks. In the DTN, the wrong instruction distribution from the twin network to physical network will directly affect the real world and cause chaos, so it is necessary to ensure the security of interaction interface. In this paper, we propose a security interaction engine named Digital Twin Protection Function (DTPF) to guarantee the confidentiality, integrity, stability and non-reputation of messages during DTN policy distribution, which can provide a reference for securing the development of DTN.","","978-1-6654-2390-8","10.1109/GCWkshps52748.2021.9682031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9682031","Digital Twin Network;6G;Security risks;Security requirements;DTPF","Industries;6G mobile communication;Privacy;Smart cities;Digital twin;Stability analysis;Real-time systems","","8","","17","IEEE","24 Jan 2022","7-11 Dec. 2021","7-11 Dec. 2021","IEEE","IEEE Conferences"
"Efficient Data Encryption Scheme Based CP-ABE for Digital Twin Network in 6G","R. Yan; L. Su; H. Du; K. Wang","China Mobile Research Institute, Beijing, China; China Mobile Research Institute, Beijing, China; China Mobile Research Institute, Beijing, China; China Mobile Research Institute, Beijing, China",2025 8th World Symposium on Communication Engineering (WSCE),"29 Dec 2025","2025","","","113","118","The digital twin comprehensively utilizes technologies such as perception, computing, modeling, simulation, and communication to achieve real-time interaction between physical entities and virtual replicas, and is becoming an enabling technology for building next-generation mobile communication networks. In the 6G network, digital twin will be widely applied in fields such as automation, industry 5.0, utility management, healthcare, leading the entire society towards a “digital twin” world that combines virtual and reality. The 6G network will provide massive device connection services, and massive data will be collected and used in digital twin networks. It is necessary to design more efficient methods for secure interaction between physical entities and virtual replicas. In the paper, data encryption scheme based on attribute-based encryption in digital twin network was studied, which improves the efficiency of data collection and usage by reducing the number of data encryption and decryption, and provides fine-grained data access control capabilities. Finally, the performance of the proposed scheme was evaluated through experiments. As the data transmission volume increases, the efficiency improvement of the proposed scheme becomes more significant.","2835-3404","979-8-3315-6843-6","10.1109/WSCE68305.2025.11300674","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11300674","Digital twin;6G;Security;Attribute encryption","6G mobile communication;Performance evaluation;Medical services;Network security;Real-time systems;Digital twins;Encryption;Data communication;Protection;Next generation networking","","","","15","IEEE","29 Dec 2025","7-9 Nov. 2025","7-9 Nov. 2025","IEEE","IEEE Conferences"
"Native Design for 6G Digital Twin Network: Use Cases, Architecture, Functions, and Key Technologies","G. Liu; Y. Zhu; M. Kang; L. Yue; Q. Zheng; N. Li; Q. Wang; Y. Huang; X. Wang","China Mobile Research Institute, Beijing, China; China Mobile Research Institute, Beijing, China; China Mobile Research Institute, Beijing, China; China Mobile Research Institute, Beijing, China; China Mobile Research Institute, Beijing, China; China Mobile Research Institute, Beijing, China; China Mobile Research Institute, Beijing, China; China Mobile Research Institute, Beijing, China; China Mobile Research Institute, Beijing, China",IEEE Internet of Things Journal,"24 Jul 2025","2025","12","15","29135","29151","The massive scale of deployment, hundreds of parameters, differentiated scenarios and interworking with existing mobile networks leads to high complexity and high cost of optimization, operation and maintenance of the 5th generation mobile network (5G), which inspires that 6th generation mobile network (6G) should support high level autonomy at the beginning of deployment. Digital twin network (DTN) technology, with its advantages of intelligent decision making, low-cost experimentation, and preverification, has emerged as a key enabling technology for autonomous network. To address the need for flexibility to fulfill more diverse scenarios and high-level autonomy toward 2030, this article discusses the typical usage cases of DTN, and proposes an innovative and native design for 6G DTN, encompassing logical framework, architecture, functions, and deployment modes. Furthermore, the efficient DTN Model Construction and Intelligent Orchestration and Management are introduced to enable fully automated and high-performance DTN tasks. Finally, the future direction for DTN research is presented.","2327-4662","","10.1109/JIOT.2025.3553500","National Key Research and Development Program of China(grant numbers:2022YFB2902100); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10937141","6G;autonomous network;digital twin network (DTN);intelligent orchestration;model construction;native DTN","6G mobile communication;Optimization;Maintenance;Digital twins;Costs;Computational modeling;5G mobile communication;Quality of service;Performance evaluation;Artificial intelligence","","9","","33","IEEE","24 Mar 2025","1 Aug.1, 2025","","IEEE","IEEE Journals"
"5G-Advanced Redcap and Digital Twin Technologies for Emerging Iiot Applications","G. Gardašević; D. Milovanovic","Department of Telecommunications, Faculty of Electrical Engineering, University of Banja Luka, Bosnia and Herzegovina; University of Belgrade, Belgrade, Serbia",2025 31st International Conference on Telecommunications (ICT),"26 Jun 2025","2025","","","1","5","The evolution of 5G Advanced is accelerating future innovations and research efforts toward achieving 6G connectivity. The 5G-Advanced RedCap technology aims to bridge the gaps caused by the limited throughput and latency of LTE-M and NB-IoT while simplifying operations when the full capabilities of a 5G eMBB network are not necessary. 3GPP Release 18 introduces a series of enhancements designed to address the diverse requirements of advanced IoT devices and services. Recently, Network Digital Twin (NDT) technology has been recognized as a key enabler of advanced Smart Manufacturing and Smart City initiatives, creating opportunities for symbiotic operations with RedCap. This paper provides a detailed overview of the latest developments in the 5G-Advanced RedCap specifications. Furthermore, we propose integrating 5G-Advanced RedCap and NDT for planning, construction, operation, maintenance, and optimization of 5G verticals.","2993-1916","979-8-3315-1447-1","10.1109/ICT65093.2025.11046242","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11046242","5G-Advanced;RedCap;Digital Twin;Network Digital Twin;Industrial IoT","Training;Solid modeling;5G mobile communication;Smart cities;Virtual reality;Throughput;Digital twins;Wearable devices;Smart manufacturing;Industrial Internet of Things","","","","29","IEEE","26 Jun 2025","28-29 April 2025","28-29 April 2025","IEEE","IEEE Conferences"
"Multi-source Heterogeneous Data Processing Technology for Digital Twin Network","H. Yang; P. Lü; T. Sun; L. Lu; C. Zhou","Department of Basic Network Technology, China Mobile Research Institute, Beijing, China; Department of Basic Network Technology, China Mobile Research Institute, Beijing, China; Department of Basic Network Technology, China Mobile Research Institute, Beijing, China; Department of Basic Network Technology, China Mobile Research Institute, Beijing, China; Department of Basic Network Technology, China Mobile Research Institute, Beijing, China",2022 IEEE 22nd International Conference on Communication Technology (ICCT),"27 Mar 2023","2022","","","1829","1834","Digital Twin Network (DTN) is a fusion technology of digital twin and information communication, and the processing of multi-source heterogeneous physical network data is the key to building a DTN system. This paper firstly proposes the classification of physical network data and the collection requirements for different types of data; secondly, the physical network data processing process is divided into three steps: ©Data collection and transmission, propose “3 criteria” for selecting data collection protocol, and data transmission method to meet the “3 consistent” requirements of twin traffic and physical traffic; ©Data storage and cleaning, clarify the basis for selecting databases for different physical network data, and propose a data cleaning process; ©Data open service, propose, a set of complete data open service architecture is proposed. Finally, this paper is summarized and the future research directions are prospected.","2576-7828","978-1-6654-7067-4","10.1109/ICCT56141.2022.10073059","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10073059","digital twin network;multi-source heterogeneous data;data processing;6G network","Protocols;Costs;Databases;Architecture;Buildings;Memory;Data collection","","8","","23","IEEE","27 Mar 2023","11-14 Nov. 2022","11-14 Nov. 2022","IEEE","IEEE Conferences"
"Digital Twin Network based Network Slice Security Provision","K. Wang; H. Du; L. Su","China Mobile Research Institute, Beijing, China; China Mobile Research Institute, Beijing, China; China Mobile Research Institute, Beijing, China",2022 IEEE 2nd International Conference on Digital Twins and Parallel Intelligence (DTPI),"3 Jan 2023","2022","","","1","6","Network slice security is the prerequisite for introducing network slicing to vertical industries. There is gap between slice security requirements and different security capabilities that need to be provisioned during the slice lifecycle. An intelligent 5G slice security capabilities provisioning method is urgently needed to help provision the most suitable security capabilities of one slice dynamically according to the network status and the security target. This paper proposes digital-twin-based basic security functions and an autonomous 5G slice security capabilities provisioning solution in order to achieve KPI-driven dynamic slice security provision.","","978-1-6654-9227-0","10.1109/DTPI55838.2022.9998964","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9998964","5G;slicing;digital twin;security;provision","Industries;5G mobile communication;Network slicing;Digital twins;Security","","8","","17","IEEE","3 Jan 2023","24-28 Oct. 2022","24-28 Oct. 2022","IEEE","IEEE Conferences"
"A Multi-Dimensional Resource Cooperative Allocation Scheme Based on Wireless Digital Twin Network","Q. Zheng; G. Li; Y. Liu; Y. Gao; K. Cui; J. Liu","China Mobile Research Institute, ZGC Institute of Ubiquitous-X Innovation and Applications, Beijing, China; China Mobile Research Institute, Beijing, China; Beijing University of Posts and Telecommunications, Beijing, China; Beijing University of Posts and Telecommunications, Beijing, China; Beijing University of Posts and Telecommunications, Beijing, China; Beijing University of Posts and Telecommunications, Beijing, China",2023 IEEE Globecom Workshops (GC Wkshps),"21 Mar 2024","2023","","","2018","2024","In the future, 6G will have the characteristics of “network can reach everything, computing power is everywhere, and intelligence is everywhere”. Computing network convergence is the development trend of future mobile communication networks. Communication and computing will achieve deeper integration at the 6G network architecture and protocol level, and will bring potential problems of energy conservation. 6G wireless networks need communication and computing collaborative allocation scheme. At the same time, 6G has the characteristics of “high system, high complexity, high dynamic and high reliability and quality assurance”. The communication and computing collaborative allocation scheme needs to adapt to the dynamics and complexity of the 6G network, reduce the impact of allocation decisions on the network and improve the system performance while reducing the system energy consumption. In this paper, we propose a collaborative allocation scheme of computing resources based on the digital twin network, design the short-term and long-term prediction mechanism, the pre-verification and optimization mechanism of resource allocation scheme, and carry out simulation verification. This scheme can improve business performance, reduce system energy consumption, adapt to network changes faster, and reduce decision-making risk.","","979-8-3503-7021-8","10.1109/GCWkshps58843.2023.10464941","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10464941","digital twin network (DTN);integration of computing resources and network;6G;prediction","6G mobile communication;Energy consumption;Wireless networks;System performance;Collaboration;Digital twins;Complexity theory","","3","","11","IEEE","21 Mar 2024","4-8 Dec. 2023","4-8 Dec. 2023","IEEE","IEEE Conferences"
"Empowering 6G Communication Systems With Digital Twin Technology: A Comprehensive Survey","N. P. Kuruvatti; M. A. Habibi; S. Partani; B. Han; A. Fellan; H. D. Schotten","Department of Electrical and Computer Engineering, Division of Wireless Communications and Radio Navigation, Technische Universität Kaiserslautern, Kaiserslautern, Germany; Department of Electrical and Computer Engineering, Division of Wireless Communications and Radio Navigation, Technische Universität Kaiserslautern, Kaiserslautern, Germany; Department of Electrical and Computer Engineering, Division of Wireless Communications and Radio Navigation, Technische Universität Kaiserslautern, Kaiserslautern, Germany; Department of Electrical and Computer Engineering, Division of Wireless Communications and Radio Navigation, Technische Universität Kaiserslautern, Kaiserslautern, Germany; Department of Electrical and Computer Engineering, Division of Wireless Communications and Radio Navigation, Technische Universität Kaiserslautern, Kaiserslautern, Germany; Department of Electrical and Computer Engineering, Division of Wireless Communications and Radio Navigation, Technische Universität Kaiserslautern, Kaiserslautern, Germany",IEEE Access,"28 Oct 2022","2022","10","","112158","112186","The global roll-out phase of the fifth-generation of mobile communication systems is currently underway. The industry and academia have already begun research on potential sixth-generation (6G) communication systems. The 6G communication system is anticipated to provide network connectivity for an extensive range of use cases in a variety of emerging vertical industries. Consequently, a new set of challenging requirements and more stringent key performance indicators have to be considered, a novel architecture has to be designed, and unique enabling technologies shall be developed in order to fulfill the technical, regulatory, and business demands of the communication service customers. These requirements place enormous pressure on the players in the telecommunications industry, including network operators, service providers, hardware suppliers, standards development organizations (SDOs), and regulatory authorities aimed at developing, standardizing, and regulating an energy-efficient, cost-effective, performing, and sustainable 6G communication ecosystem. One area of focus for 6G communication systems is the digital twin (DT) technology, which is a well-defined set of tools designed to create virtual representations of physical objects that serve as their digital counterparts. This article explores the applicability of the DT technology in the context of 6G communication systems by viewing it as a promising tool to make research, development, operation, and optimization of the next-generation communication systems highly efficient. The major contribution of this article is fivefold. Firstly, we provide critical analysis of the state-of-the-art literature in the field of DT technology in order to capture its essence in several application areas since its inception. Secondly, we conduct a comprehensive survey of the research concerning the deployment of DT technology in 6G communication systems. Thirdly, we discuss potential use cases and key areas of applications (along with detailed examples) of 6G communication systems that can benefit from DT technology. Fourthly, we present an overview of the activities of several SDOs that are active in the field of DT technology. Finally, we identify several open research challenges and future directions that need to be addressed before the end-to-end deployment of DT technology in 6G communication systems.","2169-3536","","10.1109/ACCESS.2022.3215493","European Union’s Horizon 2020 Research and Innovation Program through the Project Hexa-X(grant numbers:101015956); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9923927","5G;beyond 5G;6G;automation;communication systems;digital twinning;digital twin network;digital twin technology;intelligence;physical twin","6G mobile communication;Communication systems;Industries;5G mobile communication;Digital twins;Mobile communication;Communication networks","","156","","130","CCBY","19 Oct 2022","2022","","IEEE","IEEE Journals"
"A Digital Twin Network for Security Training in 5G Industrial Environments","S. Vakaruk; A. Mozo; A. Pastor; D. R. López","Universidad Politécnica de Madrid, Madrid, Spain; Universidad Politécnica de Madrid, Madrid, Spain; Universidad Politécnica de Madrid, Madrid, Spain; Telefónica I+d, Madrid, Spain",2021 IEEE 1st International Conference on Digital Twins and Parallel Intelligence (DTPI),"22 Sep 2021","2021","","","395","398","The evolution of next-generation mobile networks (5G, 6G…) is highly related to the latest virtualisation technology, which exposes it to new cyber-attack vectors. Therefore, there is an increasing need to train cybersecurity experts in the use of appropriate tools to prevent network attacks, especially those applied in mission-critical industrial environments. To meet this need, there are systems called cyber ranges that can be seen as an exemplification of a digital network twin. SPIDER is a cyber range specially oriented to train experts in next-generation network cybersecurity. In this paper we present how SPIDER is augmenting cyber range environments with ML tools, how it works and the way in which it can be used to train new experts.","","978-1-6654-3337-2","10.1109/DTPI52967.2021.9540146","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9540146","DTN;mobile network;machine learning;range;security;5G","Training;6G mobile communication;5G mobile communication;Digital twin;Conferences;Mission critical systems;Tools","","22","","12","IEEE","22 Sep 2021","15 July-15 Aug. 2021","15 July-15 Aug. 2021","IEEE","IEEE Conferences"
"Demo: At-Scale Deployment of Network Digital Twin on the Cloud for Network Configuration Validation","A. Abishek; L. G. Renom; R. Muñoz; A. R. Qureshi; A. Asensio; X. Masip-Bruin; R. Vilalta","Centre Tecnològic de Telecomunicacions de Catalunya - CERCA (CTTC-CERCA), Castelldefels, Spain; Centre Tecnològic de Telecomunicacions de Catalunya - CERCA (CTTC-CERCA), Castelldefels, Spain; Centre Tecnològic de Telecomunicacions de Catalunya - CERCA (CTTC-CERCA), Castelldefels, Spain; Advanced Network Architectures Lab (CRAAX), Universitat Polytecnica de Catalunya (UPC); Advanced Network Architectures Lab (CRAAX), Universitat Polytecnica de Catalunya (UPC); Advanced Network Architectures Lab (CRAAX), Universitat Polytecnica de Catalunya (UPC); Centre Tecnològic de Telecomunicacions de Catalunya - CERCA (CTTC-CERCA), Castelldefels, Spain",2025 4th International Conference on 6G Networking (6GNet),"1 Jan 2026","2025","","","36","38","This paper introduces a scalable Network Digital Twin (NDT) framework designed to mitigate the extensive compute demands typically associated with large-scale twinning of network topologies. The proposed approach enables efficient deployment of NDT instances without relying on High Performance Computing (HPC) infrastructure, thereby facilitating the modeling and analysis of complex network topologies using standard, cost-effective cloud resources.","","979-8-3315-5141-4","10.1109/6GNet68413.2025.11314126","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11314126","Network Digital Twin;Scalable;Distributed;Resilient","6G mobile communication;Cloud computing;Costs;High performance computing;Computational modeling;Computer architecture;Digital twins;Topology;Standards;Optimization","","","","5","IEEE","1 Jan 2026","17-19 Dec. 2025","17-19 Dec. 2025","IEEE","IEEE Conferences"
